,Dominant Attribute,Base Strength,Strength Growth,Base Agility,Agility Growth,Base Intelligence,Intelligence Growth,A,STR,STR+,STR30,AGI,AGI+,AGI30,INT,INT+,INT30,T,T+,T30,MS,AR,DMG(MIN),DMG(MAX),RG,AS,BAT,ATKPT,ATKBS,VS-D,VS-N,TR,COL,HP/S,L,Description,Release,Status,Release,Version
Undying,Strength,22,2.8,10,1.2,27,2.8,,22,2.8,103.2,10,1.2,44.8,27,2.8,108.2,59,6.8,256.2,300,2.67,57,65,150,100,1.7,0.3,0.3,1800,800,0.6,24,2.45,2,"Consumed by the chorus of the unending Dirge, the Undying one marches across the land, rallying the dead to rise against the living. He saps the strength from his enemies with Decay, and tears the life from close-by beings with Soul Rip, searing enemies while infusing allies with health. Atop the battlefield he erects a terrible Tombstone, calling forth legions of zombies to maim and incapacitate his foes. The Undying's powers grow as he transforms into a gruesome Flesh Golem, slowing and rendering nearby enemies vulnerable until their lifeless bodies succumb at last to the almighty Dirge.",2012-07-05,Beta,2007-06-10,6.44
Wraith King,Strength,22,3.0,16,1.7,18,1.6,,22,3.0,109.0,16,1.7,65.3,18,1.6,64.4,56,6.3,238.7,315,1.67,60,62,150,100,1.7,0.56,0.44,1800,800,0.6,24,2.45,2,"On the millennial solstice known as Wraith-Night, Ostarion stood frozen amid the carnage, absorbing innumerable souls as his champions sacrificed their lives for the King. Now brimming with Wraith Essence, Ostarion immobilizes his adversaries with Wraithfire Blast, stunning and searing them over time. His greatsword smashes foes in one Mortal Strike, sapping their essence to feed his Vampiric Aura. Only fools trust the erratic reports of Ostarion's death. For when slain, the wraith energies that bind his body begin to reconstitute his parts, joining limb to torso until the Wraith King's Reincarnation comes full circle.",2011-10-20,Beta,2004-02-03,0.60
Anti-Mage,Agility,21,1.6,24,2.8,12,1.8,,21,1.6,67.4,24,2.8,105.2,12,1.8,64.2,57,6.2,236.8,310,4.0,53,57,150,100,1.4,0.3,0.6,1800,800,0.6,24,2.35,2,"Among the ascetic monks of Turstarkuri, only a young acolyte was fortunate enough to escape the fallen legion's assault on the monastery. Now, vowing to eliminate not only the magic of the Dead God, the Anti-Mage returns to eradicate magic altogether. Protected by a Counterspell shield, he shrugs off sorcery that would end lesser heroes. No wizard's trick is enough to contain or elude the Anti-Mage, as he Blinks out of traps and pursues targets to the ends of the world. With each swing of his unorthodox blades, the Anti-Mage erodes his opponent's mana, setting up the depleted caster to perish in a crushing Mana Void.",2010-11-01,Alpha,2004-03-01,2.60
Arc Warden,Agility,22,2.6,20,3.0,24,2.6,,22,2.6,97.4,20,3.0,107.0,24,2.6,99.4,66,8.2,303.8,285,2.33,47,57,625,100,1.7,0.3,0.7,1800,800,0.7,24,2.45,2,"As old as the Ancients themselves, Zet endeavors to end the disharmony among the warring factions through whatever means necessary. Solitary foes are thrown into a volatile state of Flux, ripping away at their health over time. Allies find shelter under its Magnetic Field, evading and attacking with greater efficiency. Zet summons Spark Wraiths, fragments of its former self that circle in place, and seek out nearby foes. Is there one Arc Warden, or two? Armed with the original's items and abilities, Zet's Tempest Double duplicates each spell and every attack, bringing twice the chaos to any fight.",2015-12-16,Reborn,2012-09-29,6.75
Bloodseeker,Agility,24,2.7,22,3.1,17,2.0,,24,2.7,102.3,22,3.1,111.9,17,2.0,75.0,63,7.8,289.2,300,5.67,57,63,150,100,1.7,0.43,0.74,1800,800,0.6,24,2.65,2,"The Flayed Twins' obscene demand for blood could only be met through constant carnage, a task for which Strygwyr was more than suited. Driven by insatiable Thirst, the Bloodseeker senses injured foes from leagues away, and chases them down with eager speed. Through sacred markings on his gear, the blood of the freshly sacrificed flows directly to the Flayed Ones, leaving just enough to mend his wounds and fuel his Bloodrage. Strygwyr paints the land with a crimson ring, silencing foes caught in this Blood Rite. Those who run only hasten their own demise. The Bloodseeker Ruptures every artery, causing his victim to hemorrhage with each step. By blood loss or by Strygwyr's tribal blades, death is but a foregone conclusion.",2011-10-06,Beta,2005-03-01,6.00
Bounty Hunter,Agility,20,2.5,21,2.6,22,1.9,,20,2.5,92.5,21,2.6,96.4,22,1.9,77.1,63,7.0,266.0,325,7.5,51,59,150,100,1.7,0.59,0.59,1800,1000,0.6,24,3.25,2,"Fear is the mother of rumor, and tales of Gondar's origins are nothing but hearsay. He Shadow Walks into the best guarded keeps, enchanting his blades with the word ""Jinada"", so that they may cripple with a single slice. If that doesn't do the job, Gondar reaches for his oversized Shuriken, and slings it into his victim's back. For the right price, the Bounty Hunter will deliver any head. The hunted are tagged with an invisible mark, allowing Gondar and his partners to Track, kill, and make a little extra off the corpse. Because in the end, it's all about the gold.",2011-12-21,Beta,2004-04-08,4.00
Broodmother,Agility,18,3.2,19,3.4,18,2.0,,18,3.2,110.8,19,3.4,117.6,18,2.0,76.0,55,8.6,304.4,280,3.17,48,54,150,125,1.7,0.4,0.5,1800,800,0.6,24,2.05,8,"Inhabiting the lava tubes below the caldera of Mount Pyrotheos, Black Arachnia grew tired of recent adventurers stepping on her many offspring. And so, the Broodmother set out to rid the world of every potential intruder, one hero at a time. Paralytic venom drips from her fangs, crippling and blinding her prey with each Incapacitating Bite. Warm bodies make ideal nurseries, a fact not lost on Black Arachnia as she injects her eggs into dying foes to Spawn Spiderlings. Across patches of land she Spins Webs of silken fiber, sheltering herself within to recuperate injuries. Driven by Insatiable Hunger, the Broodmother goes into a feeding frenzy, sucking the vital fluids from wandering heroes to replenish herself for the next spawn cycle.",2011-10-20,Beta,2004-09-18,5.62
Clinkz,Agility,16,2.0,22,2.5,18,2.2,,16,2.0,74.0,22,2.5,94.5,18,2.2,81.8,56,6.7,250.3,290,3.67,37,43,600,100,1.7,0.4,0.3,1800,800,0.6,24,1.85,2,"As Clinkz loosed his final arrow, the demon Maraxiform ignited the land with hellfire, burning him to the bone. Yet, the heroic bowman did not die. He had slain the demon, and unwittingly earned king-mage Sutherex's reward: Eternal life. Immortalized at the precipice of death, Clinkz now makes advantageous use of his skeletal body. Camouflaged, he walks into hostile lands, forming Death Pacts with wildlife to empower his shots. The demon's inferno burns within his ribs, with which he now lights Searing Arrows to devastating effect. When backup is needed, Clinkz calls upon a Burning Army of skeletal archers, incinerating his foes in the flames of their hellfire barrage.",2012-01-26,Beta,2004-03-01,2.60
Drow Ranger,Agility,16,1.9,20,2.9,15,1.4,,16,1.9,71.1,20,2.9,104.1,15,1.4,55.6,51,6.2,230.8,295,3.33,49,56,625,100,1.7,0.5,0.3,1800,800,0.7,24,1.85,2,"Dwelling deep within the forest, few have ever caught glimpse of the solitary and impossibly beautiful Drow Ranger. Her presence was known only from the chill of Frost Arrows, driving deep into her enemies' hearts. Named and raised by the sympathetic Drow, Traxex draws on her heritage to send forth a powerful Gust, silencing and repulsing assailants who venture too close. Her expertise allows her to Multishot, launching a rapid salvo of arrows at multiple targets. Honing her skill to peerless precision, the Drow Ranger's legendary Marksmanship only improves with each passing skirmish.",2010-11-01,Alpha,2004-02-03,0.60
Ember Spirit,Agility,21,2.6,22,2.9,20,2.2,,21,2.6,96.4,22,2.9,106.1,20,2.2,83.8,63,7.7,286.3,305,2.67,55,59,150,100,1.7,0.4,0.3,1800,800,0.6,24,2.85,2,"Impressed by the teachings of Xin, the Burning Celestial breathed life into the warrior-poet's ashes, and from there an image of Xin appeared, born anew as the Ember Spirit. The great teacher dashes through his opponents, a Sleight of Fist that strikes each foe once before returning to his original spot. He immobilizes enemies with Searing Chains, holding them in place against the scorching heat of his Flame Guard. Across the land, Xin's glowing likenesses stand silent guard. The Ember Spirit arrives at his Fire Remnants from impossible distances, catching the unprepared in a burst of flame before they surrender their lives to Xin's burning blades.",2013-11-14,Gold,2011-12-24,6.73
Faceless Void,Agility,20,2.4,19,3.0,15,1.5,,20,2.4,89.6,19,3.0,106.0,15,1.5,58.5,54,6.9,254.1,300,4.17,56,62,150,100,1.7,0.5,0.56,1800,800,0.9,24,3.0,2,"Hailing from the realm of Claszureme, Darkterror is a being for whom the laws of spacetime do not apply. The Faceless Void knocks opponents out of this dimension, pausing and stunning them with Time Lock. He fast-forwards through space, stepping past obstacles while backtracking any damage taken. Nearby enemies are exposed to Time Dilation, slowing not only their movement, but also the rate at which spells can be cast. Darkterror rips opens a rift to Claszureme, bringing all except himself to a complete standstill. Frozen in time, foes can only stand oblivious as the Faceless Void dismantles them from within the Chronosphere.",2011-02-19,Beta,2004-02-03,0.60
Gyrocopter,Agility,22,2.5,26,3.3,21,2.4,,22,2.5,94.5,26,3.3,121.7,21,2.4,90.6,69,8.2,306.8,315,6.33,42,48,365,125,1.7,0.2,0.1,1800,800,0.6,24,2.45,2,"The world's first non-magical flying device took over a decade to create, and less than a few seconds to shoot down. But its pilot was not deterred. Aurel returned to the skies in a newer, better Gyrocopter. One with Flak Cannons, to strafe entire fields of foes. And Homing Missiles, to shoot down bogeys no matter how they twist or turn. Somebody infringing on your airspace? Let them have it with a Rocket Barrage. But sometimes, it's easier to just use the big bomb. Aurel Calls Down an air strike, and then delivers the payload himself before soaring away from the rising explosion. Not bad for an old timer.",2012-06-11,Beta,2010-07-26,6.68
Hoodwink,Agility,17,2.0,24,3.6,21,2.9,,17,2.0,75.0,24,3.6,128.4,21,2.9,105.1,62,8.5,308.5,310,4.0,46,53,575,100,2.0,0.4,1.5,1800,800,0.9,8,1.95,4,"Small and nimble, Hoodwink peppers her foes from the foliage with Acorn Shots, binding them against trees before Scurrying into the deep reaches of the forest. A natural Sharpshooter, Hoodwink winds up her heavy arbalest to deliver devastating bolts into the heart of the target.",2020-12-17,Reborn,-,7.28
Juggernaut,Agility,20,2.2,34,2.8,14,1.4,,20,2.2,83.8,34,2.8,115.2,14,1.4,54.6,68,6.4,253.6,305,5.67,50,54,150,110,1.4,0.33,0.84,1800,800,0.6,24,2.5,2,"What laid under the Juggernaut's mask, none could say. The last of his kind, Yurnero carries alone the martial traditions of his native isle, now sunken forever beneath the waves. The Juggernaut elevates swordplay to an art form, cutting down foes in the unstoppable cyclone of Blade Fury, and striking at every vulnerability with Blade Dance. Should his party sustain injury, he is quick to replenishes their vitality with a portable Healing Ward. A paragon of discipline, Yurnero waits patiently for the opportune moment to execute his most fearsome technique. Dashing between foes with imperceptible swiftness, the Juggernaut's Omnislash eviscerates his opponents long before any can mount a defense.",2011-09-30,Beta,2004-04-08,4.00
Lone Druid,Agility,18,2.5,20,2.8,13,1.4,,18,2.5,90.5,20,2.8,101.2,13,1.4,53.6,51,6.7,245.3,325,1.33,38,42,550,100,1.6,0.33,0.53,1800,800,0.6,24,2.05,2,"Chosen by the forces of nature for his profound wisdom, Sylla is all that remains of his forgotten clan. The Lone Druid is followed by his Spirit Bear, a powerful companion that Entangles enemies, and Demolishes structures. The sound of a Savage Roar is often all that's needed to frighten foes from the forest. If not, then the pair forms a Spirit Link, increasing their speed as they roam the lands for intruders. Man or bear, the distinction is not always clear. When the situation calls for it, the Lone Druid takes his True Form, lets out an invigorating Battle Cry, and joins the mêlée to fight claw-to-claw alongside his bear.",2012-03-28,Beta,2004-09-18,5.62
Luna,Agility,21,2.2,24,3.4,23,1.9,,21,2.2,84.8,24,3.4,122.6,23,1.9,78.1,68,7.5,285.5,325,6.0,50,56,330,100,1.7,0.35,0.54,1800,800,0.6,24,2.6,2,"Renouncing her savage past, Luna swore her service to Selemene, and embraced the title of Moon Rider. The Goddess bestows a Lunar Blessing on her new champion, boosting her strength and heightening her nocturnal senses. Saddled on top of Nova, her beastly mount, Luna bounds across the Nightsilver Woods to smite trespassers with Lucent Beams. Superior numbers are no advantage against the Moon Rider. Through divine will, the midday sun gives way to night, and every foe is struck by rays of lunar energy as Luna tears through their ranks with flying Moon Glaives. By Selemene's wrath or through her own hand, the Moon Rider levels the battlefield under the brief darkness of the Eclipse.",2012-06-28,Beta,2004-03-01,2.60
Medusa,Agility,17,1.5,22,3.4,23,3.4,,17,1.5,60.5,22,3.4,120.6,23,3.4,121.6,62,8.3,302.7,275,2.67,48,54,600,100,1.7,0.5,0.6,1800,800,0.6,24,1.95,0,"The youngest Gorgon was also the most beautiful, but looks alone could not rescue her kidnapped sisters. Therefore, Medusa traded her beauty for terrible new powers, and has never regretted it since. Each arrow she fires divides into multiple Split Shots, striking several targets at once. Foes bitten by Mystic Snake are sapped of energy, a resource that returns to Medusa for her defensive use. Encased in a Mana Shield, she survives against even the most unfavorable odds. Heroes who lay eyes on her may find it hard to turn away. Petrified, none could hope to approach Medusa before the Gorgon's legendary Stone Gaze turns their bodies to statues.",2013-01-10,Beta,2004-03-23,3.00
Meepo,Agility,24,2.2,17,2.2,20,1.9,,24,2.2,87.8,17,2.2,80.8,20,1.9,75.1,61,6.3,243.7,330,5.83,39,45,150,100,1.7,0.38,0.6,1800,800,0.7,8,2.65,2,"A scavenger's life is not easy. It was one thing to Earthbind a potential meal, but quite another to handle the Riftshadow crystals that, upon breaking, could splinter one's soul. They are valuable, though. And that's what matters most to Meepo. Seldom seen alone, Meepo commands up to five separate bodies, completing multiple tasks in record time. Tired clones are sent home to rest, and once refreshed, quickly rejoins his brethren with a simple Poof. Draining foes and Ransacking fortresses, a swarm of angry, shovel-wielding Meepos can overwhelm even the mightiest of heroes.",2012-09-20,Beta,2007-01-02,6.39
Mirana,Agility,18,2.2,24,3.4,22,1.9,,18,2.2,81.8,24,3.4,122.6,22,1.9,77.1,64,7.5,281.5,290,2.0,48,54,630,110,1.7,0.35,0.7,1800,800,0.6,24,2.05,2,"Mirana patrols the Nightsilver Woods, ever vigilant against those who would dare to take from her Goddess's preserve. Leaping into action on her white feline mount, the Princess of the Moon calls down a heavenly Starstorm to rain waves of meteors on surrounding enemies. Wielding a bow tipped with lunar ore, she takes skillful aim with Sacred Arrows to find her mark from extreme distances. By the blessing of Selemene, Mirana shrouds the land in Moonlight Shadow, disappearing her companions so that they may position themselves for the ultimate ambush.",2010-11-01,Alpha,2006-10-27,6.38
Monkey King,Agility,18,2.8,22,3.7,20,1.8,,18,2.8,99.2,22,3.7,129.3,20,1.8,72.2,60,8.3,300.7,300,5.67,51,55,300,100,1.7,0.45,0.2,1800,800,0.6,8,2.8,2,"Having survived every encounter with the wrathful gods, the immortal Sun Wukong returns to do what he does best: cause endless Mischief. Tricky and deceptive, the Monkey King takes the shape of a tree, and lies in wait to Boundless Strike the unsuspecting with his extendable staff. He leaps nimbly from treetop to treetop, scouting the ideal location to crash down on enemies with Primal Spring. A tuft of hair—plucked from his head—scatters into the wind, transforming into legions of soldiers. Under Wukong's Command, the clone army makes certain that no foe ever leaves the field without battling the Monkey King himself.",2016-12-12,Reborn,-,7.00
Morphling,Agility,22,3.0,24,3.9,19,1.8,,22,3.0,109.0,24,3.9,137.1,19,1.8,71.2,65,8.7,317.3,285,2.0,33,42,350,100,1.5,0.5,0.5,1800,800,0.7,24,2.45,0,"After eons of travel in the darkness of space, the icy comet plunged to earth, and from there rose an elemental being of sentient liquid. Unbound by any permanent shape, the Morphling alters his attributes to match his needs, Shifting between potent attacker, and resilient survivor. He blasts enemies with Adaptive Strikes, violent bursts of water that sting or stun, depending on his composition. When needed, Morphling surges forward in Waveform, battering foes while passing through obstacles. The power to Morph into an exact replica of any hero is his greatest asset, confounding enemies before destroying them with their ally's abilities.",2010-11-01,Alpha,2004-04-23,4.10
Naga Siren,Agility,21,2.8,21,3.3,21,2.0,,21,2.8,102.2,21,3.3,116.7,21,2.0,79.0,63,8.1,297.9,330,6.5,44,46,150,100,1.7,0.5,0.5,1800,800,0.6,8,3.6,0,"Once a highly regarded commander of the Slithereen Guard, Slithice fell from honor following a seemingly trivial oversight. She was to find the one stolen chalice, or remain banished forever. Slithice splits into three Mirror Images, sending them to scout ahead and mislead foes. She Ensnares targets in a luminous net, then lashes out with Rip Tide to soften their armor. The enemy halts in mid-swing, lowering their weapons at the sound of a haunting aria. There they will stand, mesmerized, unresponsive to Slithice's encircling allies as they listen to the Siren Song that has lulled them to their deaths.",2012-07-19,Beta,2004-04-08,4.00
Nyx Assassin,Agility,17,2.5,18,2.5,21,2.1,,17,2.5,89.5,18,2.5,90.5,21,2.1,81.9,56,7.1,261.9,310,4.0,45,49,150,100,1.7,0.46,0.54,1800,800,0.6,24,3.7,6,"Within the colony of zealot scarabs, the queen goddess Nyx selected a single grub to answer her highest calling. And so, through designed metamorphosis, the Nyx Assassin came into being. The telepathic scarab devours his prey's minds through Mana Burn, while sending out rows of subterranean spikes to Impale them from below. Armored with a Spiked Carapace, he stuns attackers and reflects damage back to their source. But the goddess' servant is deadliest when unseen. A distracted target has no chance to react as the Nyx Assassin pierces its body with massive mandibles, thereby fulfilling an unspoken Vendetta in the name of his queen.",2012-07-26,Beta,2004-02-03,0.60
Pangolier,Agility,17,2.5,18,3.2,16,1.9,,17,2.5,89.5,18,3.2,110.8,16,1.9,71.1,51,7.6,271.4,300,4.0,51,57,150,100,1.7,0.33,0.77,1800,800,0.9,24,1.95,2,"Fond of wine, women, and danger, the gallant Donté Panlin goes wherever adventure calls. Dropping into the fight with a Shield Crash, the Pangolier Swashbuckles his way to glory as he fends off attacks with his scaly plates. His rapier's pointed tip finds the weakness in any defense, delivering Lucky Shots cripple and maim. Curling up into an impenetrable ball, the rascally rogue's Rolling Thunder plows through the battlefield, slamming foes aside and clearing the path to victory.",2017-10-31,Reborn,-,7.07
Phantom Assassin,Agility,21,2.2,23,3.4,15,1.4,,21,2.2,84.8,23,3.4,121.6,15,1.4,55.6,59,7.0,262.0,305,4.83,55,57,150,100,1.7,0.3,0.7,1800,800,0.6,24,2.85,2,"Of all the assassins raised by the Sisters of the Veil, only one is known by name: Mortred. Through meditation and prophecy, the order identifies the next target to die at her hands. Attacks miss against the Phantom Assassin as she Blurs into her surroundings, traversing undetected across the land to catch her victims unawares. She opens the encounter with a Stifling Dagger, thrown from the shadows, then leaps upon the crippled target to deliver a flurry of Phantom Strikes. Mortred ends the struggle with a decisive Coup de Grace, leaving behind only the blood-splattered ground as testament to her efficiency.",2012-06-11,Beta,2004-03-01,2.60
Phantom Lancer,Agility,19,2.2,26,3.2,21,2.0,,19,2.2,82.8,26,3.2,118.8,21,2.0,79.0,66,7.4,280.6,290,3.33,52,62,150,100,1.7,0.5,0.5,1800,800,0.6,8,3.4,2,"As Azwraith drove his pike through Vorn, the Dread Magus shattered into innumerable shards of light, saturating his killer with a strange new power. Once a humble fisherman, the Phantom Lancer spears targets from afar with Spirit Lance, spawning an illusion to harass his opponent as he closes the gap with Phantom Rush. When cornered, he vanishes briefly from the battlefield, reappearing at a nearby spot while leaving behind two Doppelgangers to confuse pursuers. In the heat of combat, Azwraith summons illusions through Juxtapose, overwhelming foes before their eyes can scarcely distinguish the Phantom Lancer from his army of clones.",2012-05-03,Beta,2005-03-01,6.00
Razor,Agility,22,2.8,22,2.6,21,2.2,,22,2.8,103.2,22,2.6,97.4,21,2.2,84.8,65,7.6,285.4,290,2.67,45,47,475,100,1.7,0.3,0.4,1800,800,0.6,24,3.2,0,"The whip that ushers the dead through the Narrow Maze brings just as much pain on the battlefield. The Lightning Revenant radiates a Plasma Field that shocks nearby foes, once upon expansion, and again upon contraction. He connects to enemy heroes with a Static Link, transferring their power to his own reserves. Charged by a Storm Surge, Razor hovers effortlessly off the ground, and sends jolts of electricity to those who dare come too close. In the Eye of the Storm, one finds Razor, watching and delighting in his work as bolts of lightning reduce his foes to charred remains.",2010-11-01,Alpha,2004-02-03,0.60
Riki,Agility,18,2.6,18,1.4,14,1.3,,18,2.6,93.4,18,1.4,58.6,14,1.3,51.7,50,5.3,203.7,315,6.0,59,63,150,100,1.7,0.3,0.3,1800,800,0.6,24,4.3,2,"The soldiers came for his father, and his brothers, but not for Riki. For once, it was good to be the neglected middle child. Leaving his past life behind, Riki escaped the royal grounds using his own methods of Cloak and Dagger. Stealthy and fond of killing from behind, Riki throws down a dense Smoke Screen, blinding and choking foes as he takes them by surprise with Blink Strike. Intruders who enter his turf are greeted with twin daggers, flashes of steel that slash simultaneously at every turned back, while the master himself remains unseen. How this feat is accomplished remains a mystery, for Riki is not one to divulge the Tricks of the Trade.",2011-10-13,Beta,2004-02-03,0.60
Shadow Fiend,Agility,19,2.7,20,3.5,18,2.2,,19,2.7,97.3,20,3.5,121.5,18,2.2,81.8,57,8.4,300.6,305,4.33,39,45,500,100,1.6,0.5,0.54,1800,800,0.9,24,2.15,0,"Some heroes collect trophies, others collect hats. The one known as Nevermore prefers souls. Maintaining perfect Necromastery over his collection, the Shadow Fiend grows in power with every soul claimed. Armor fails in the Presence of the Dark Lord, leaving foes no choice but to scramble before he Shadowrazes them to oblivion. It is a poor idea to surround Nevermore. The Shadow Fiend pauses to charge his demonic energies, then, with a flourish of his lightless wings, releases his collection in all directions to obliterate enemies in a howling Requiem of Souls.",2011-05-26,Beta,2005-03-01,6.00
Slark,Agility,20,1.9,21,1.7,16,1.7,,20,1.9,75.1,21,1.7,70.3,16,1.7,65.3,57,5.3,210.7,300,3.5,53,61,150,110,1.7,0.5,0.3,1800,1800,0.7,24,3.75,2,"The only prisoner ever to escape from Dark Reef, Slark's abilities and ruthlessness are without equal. The Nightcrawler Pounces on his foes, leaping over obstacles and pinning them to the ground. With every swing of his barnacle encrusted blade, Slark steals his target's essences, converting them to render himself more agile. He forges a Dark Pact, sacrificing his own lifeblood to dissipate negative energies that damage foes, and frees him from magical constraints. Concealing himself with Shadow Dance, the Nightcrawler presents no visible target to would-be attackers. Hidden in this black haze, Slark escapes the inescapable, and returns to gut his enemies with little risk of retribution.",2012-11-15,Beta,2009-12-23,6.65
Sniper,Agility,19,2.0,27,3.2,15,2.6,,19,2.0,77.0,27,3.2,119.8,15,2.6,90.4,61,7.8,287.2,285,3.5,40,46,550,100,1.7,0.17,0.7,1800,1400,0.7,24,2.15,2,"With a single bullet, Kardel Sharpeye pierced the steepstalker's central eye from the valley floor, an ominous act that resulted in his ritual exile. He would win acclaim on a field of battle, or never return. Like his mountain kin, the Sniper is one with his firearm. He Takes Aim from great distances, and scores Headshots that stop his targets dead. Armed with a modular rifle, Kardel launches incendiary rounds to rain burning Shrapnel over entrenched positions. No enemy is safe within the range of the Sniper's scope. Kardel pauses to line up his crosshairs, compensating for every variable before he Assassinates his mark in one fatal shot.",2011-04-30,Beta,2004-03-01,2.60
Spectre,Agility,23,2.5,23,2.1,16,1.9,,23,2.5,95.5,23,2.1,83.9,16,1.9,71.1,62,6.5,250.5,290,4.83,46,50,150,90,1.7,0.3,0.7,1800,800,0.6,24,3.8,0,"An eternal being of violent energies, Mercurial, the Spectre is irresistibly drawn to conflict. She throws out a Spectral Dagger, creating a shadowy trail to her foes in which she may travel unobstructed. Harm done to Mercurial is partially deflected onto nearby foes, a Dispersion of damage that prolongs her endurance. Even in the most Desolate wilderness, travelers are Haunted by visions of Spectre, seeming to prey on their solitude. But these are no mere illusions. It is said that for one in every five haunted, the apparition becomes Reality, and alongside these unfortunate victims the Spectre appears, bringing with her the destruction that she eternally craves.",2011-06-17,Beta,2006-02-24,6.28
Templar Assassin,Agility,21,2.4,23,3.2,20,2.0,,21,2.4,90.6,23,3.2,115.8,20,2.0,78.0,64,7.6,284.4,305,4.83,53,59,160,100,1.7,0.3,0.5,1800,800,0.7,24,2.35,2,"Only the Hidden Temple can satisfy Lanaya's infinite thirst for knowledge. In exchange for such wisdom, she pledged to protect its mysteries with her latent psionic abilities. Bending the laws of nature itself, Lanaya forms a Refraction field that absorbs incoming blows, yet amplifies outgoing attacks. She Melds into the background, lying in wait to unleash a burst of psionic energy on unsuspecting targets. Violet light emanates from her fingertips, Psi Blades that outrange any melee weapon, and cuts through lines of foes at once. Persistent in her goals, Lanaya marks the ground with magic circles of eldritch design. Those who walk unknowingly over a Psionic Trap can only limp away from the explosion—for their presence has been revealed, and the Templar Assassin is not far behind.",2012-07-12,Beta,2007-06-10,6.44
Terrorblade,Agility,16,2.0,22,4.0,19,1.6,,16,2.0,74.0,22,4.0,138.0,19,1.6,65.4,57,7.6,277.4,315,8.67,52,58,150,110,1.5,0.3,0.6,1800,800,0.6,24,2.6,2,"The fractal walls of Foulfell not only failed to contain Terrorblade, they granted him newfound control over its twisted Reflections. The Demon Marauder Conjures Images of himself, confounding enemies and multiplying his damage. Feeding on his own rage, Terrorblade transforms into an even more imposing form; an unholy Metamorphosis that allows him to hurl demonic energies at range. Experienced foes know that an injured demon is far from defeated. At the brink of death, Terrorblade tips the scales with Sunder, eliminating any need for retreat as he exchanges his depleted health with that of his opponent's.",2014-01-29,Gold,2004-02-20,2.00
Troll Warlord,Agility,21,2.5,21,3.3,13,1.0,,21,2.5,93.5,21,3.3,116.7,13,1.0,42.0,55,6.8,252.2,290,2.5,48,56,500,100,1.7,0.3,0.3,1800,800,0.6,24,2.35,2,"Jah'rakal is an intolerable scoundrel, even for a troll. As such, being kicked out of the troll encampment only served to fuel his anger. The next day, he returned with steel in hand, and slew his former comrades in a Berserker's Rage. With each passing blow, the self-styled Troll Warlord accelerates his swings in an irate Fervor. Swapping effortlessly between melee and ranged, he throws his weapons to cripple from afar, while chopping down adjacent foes with Whirling Axes. To challenge Jah'rakal is to invite one's own death. The Troll Warlord enters a Battle Trance, channeling pure hatred into unequaled speed as he decimates his opponents in a storm of bloody axes.",2013-01-24,Beta,2004-05-06,5.40
Ursa,Agility,25,2.6,18,2.6,16,1.5,,25,2.6,100.4,18,2.6,93.4,16,1.5,59.5,59,6.7,253.3,310,4.0,42,46,150,100,1.7,0.3,0.3,1800,800,0.6,24,3.0,2,"The fiercest member of his ursine tribe, Ulfsaar makes it his purpose to seek out the evil fomenting beyond his homeland. The Ursa Warrior shakes the ground with Earthshock, slowing foes as he Overpowers them with relentless attacks. His claws dig in to widen the wound, inflicting greater damage with each successive Fury Swipe. An Enraged ursine is a sight to behold. Ignoring all pain, the Ursa Warrior goes into a righteous frenzy, and bears down on his opponents to maul them beyond recognition.",2011-12-15,Beta,2004-10-15,5.75
Vengeful Spirit,Agility,19,2.6,20,3.2,19,1.5,,19,2.6,94.4,20,3.2,112.8,19,1.5,62.5,58,7.3,269.7,295,3.33,44,50,400,100,1.7,0.33,0.64,1800,800,0.6,24,2.15,2,"Robbed of her wings and rightful place in the Ghastly Eyrie, Shendelzare appealed to the goddess Scree'auk to grant her the dark energies that would complete her vengeance. The fallen princess heralds her arrival with a Wave of Terror, unnerving foes close enough to hear her anguished cry. Like her airborne brethren, the Vengeful Spirit makes liberal use of Magic Missile, a simple Skywrath spell for stunning adversaries. Seeking martyrdom, Shendelzare instantly Nether Swaps with a hero of her choosing, gladly sacrificing herself as she trades positions with a besieged ally, or a fleeing enemy. The worthy who fight alongside Shendelzare are emboldened by her Vengeance Aura, a fanaticism that intensifies their blows and persists even beyond her death.",2010-11-01,Alpha,2004-02-03,0.60
Venomancer,Agility,19,2.1,24,2.8,19,1.8,,19,2.1,79.9,24,2.8,105.2,19,1.8,71.2,62,6.7,256.3,280,4.0,46,49,450,115,1.7,0.3,0.7,1800,800,0.6,24,2.15,0,"In his panic, the herbalist Lesale injected himself with a crude antidote, made from the nectar of an armored orchid, and the venom of the reptile that had just stung him. He fell comatose, and a lurid transformation began spreading through his body. Seventeen years later, a strange creature arose from the jungle floor. It infected other living beings by its very touch, and spewed Venomous Gales to slow and poison escaping prey. Part reptile and part orchid, what remained of Lesale's human mind now works to plant Plague Wards, living sentinels that defend its perimeters with acid spit. Foes who approach too close are sprayed with a noxious Poison Nova, ensuring that even those who get away eventually succumb to the Venomancer's many toxins.",2011-04-09,Beta,2004-02-03,0.60
